numero,annee,article,bureau,code_commission,code_imp,commissionnaire,importateur,numero.1,origine,produit,provenance,regime,date,libelle_produit,origine_encoded,provenance_encoded,importateur_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,risk_score,risk_category
37924,2018,3,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,8513100000,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.02053849698122939,Vert (Risque Faible)
37925,2019,5,19C,33993,30961,Aunulaububotin,Didabobugusdanus,18625,FRANCE,2106909600,FRANCE,8797,08/11/2019,--- ComplÃ©ments alimentaires,35,35,2010,64,67,1,0.0755813953488372,0.14227230828797816,Vert (Risque Faible)
37926,2018,4,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,9504900000,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.3070790298689848,Vert (Risque Faible)
37927,2018,5,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,3401200000,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.028740336951101016,Vert (Risque Faible)
37928,2018,6,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,8544499000,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.04277669991545631,Vert (Risque Faible)
37929,2019,2,19C,26126,26126,Audalius,Aububububonules,18672,FRANCE,7321111900,FRANCE,1450,08/11/2019,#NOM?,35,35,778,59,3,1,0.14825581395348836,0.07370640102350397,Vert (Risque Faible)
37930,2019,9,19C,33993,30961,Aunulaububotin,Didabobugusdanus,18676,ROYAUME-UNI,3004909000,FRANCE,8797,08/11/2019,#NOM?,83,35,2010,64,67,0,0.0755813953488372,0.5353616775809279,Orange (Risque Modéré)
37931,2019,2,19C,6201,6201,Eubees,Dunulaunulius,18710,ITALIE,1901909900,ITALIE,8797,20/12/2019,--Autres:--- Autres,52,54,2551,223,67,1,0.04941860465116279,0.1529465484640809,Vert (Risque Faible)
37932,2018,1,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17466,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.06720806150482207,Vert (Risque Faible)
37933,2019,1,19C,31166,31166,Enulautus,Digucus,18721,CHINE,8504501000,CHINE,1450,20/12/2019,--  Bobines de rÃ©actance,21,21,2061,220,3,1,0.7296511627906976,0.40165032503707243,Orange (Risque Modéré)
37934,2018,7,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,8212100000,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.24765762518168297,Vert (Risque Faible)
37935,2018,8,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,7321111900,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.2768331456290196,Vert (Risque Faible)
